epoch,accuracy,loss,val_accuracy,val_loss
0,0.8501377701759338,0.4584619998931885,0.8480176329612732,0.6017289161682129
1,0.9311294555664062,0.2605367600917816,0.8854625821113586,0.46081095933914185
2,0.9460055232048035,0.18071649968624115,0.8854625821113586,0.36462265253067017
3,0.9553719162940979,0.14365312457084656,0.9185022115707397,0.3123668134212494
4,0.9625344276428223,0.12251044809818268,0.9361233711242676,0.273951917886734
5,0.9696969985961914,0.10587332397699356,0.9515418410301208,0.2384561002254486
6,0.9741047024726868,0.08964439481496811,0.958149790763855,0.2153673619031906
7,0.9812672138214111,0.07881815731525421,0.9669603705406189,0.1786012351512909
8,0.9812672138214111,0.07190700620412827,0.9559471607208252,0.15259753167629242
9,0.9840220212936401,0.06050223857164383,0.9691630005836487,0.12500573694705963
10,0.9845730066299438,0.061893902719020844,0.9669603705406189,0.1037212610244751
11,0.9856749176979065,0.06258232891559601,0.9757709503173828,0.09006065130233765
12,0.9900826215744019,0.04952862858772278,0.9757709503173828,0.06650621443986893
13,0.9884297251701355,0.04664389789104462,0.9801762104034424,0.05570894852280617
14,0.9884297251701355,0.04428750276565552,0.9801762104034424,0.06123235076665878
15,0.9856749176979065,0.05196626856923103,0.9911894202232361,0.035942766815423965
16,0.9884297251701355,0.04942895099520683,0.9955947399139404,0.022955777123570442
17,0.9906336069107056,0.040746696293354034,0.9911894202232361,0.028381654992699623
18,0.9933884143829346,0.03454647585749626,0.9977973699569702,0.01584595814347267
19,0.9939393997192383,0.03145222365856171,0.9977973699569702,0.0129455691203475
20,0.9928374886512756,0.032748740166425705,0.9977973699569702,0.010712094604969025
21,0.9928374886512756,0.033510275185108185,1.0,0.010364407673478127
22,0.9933884143829346,0.028751011937856674,1.0,0.006818096619099379
23,0.9906336069107056,0.03686157613992691,0.9977973699569702,0.012466059066355228
24,0.9939393997192383,0.02755049057304859,0.9977973699569702,0.011300262995064259
25,0.9950413107872009,0.025343408808112144,1.0,0.007608463987708092
26,0.9950413107872009,0.024260932579636574,1.0,0.007998023182153702
27,0.9922865033149719,0.03345366194844246,1.0,0.009942786768078804
28,0.9939393997192383,0.02738741785287857,0.9977973699569702,0.015042359009385109
29,0.9939393997192383,0.026105370372533798,1.0,0.00577088538557291
30,0.9911845922470093,0.03993215411901474,0.9933920502662659,0.012886942364275455
31,0.9922865033149719,0.03507697954773903,0.9955947399139404,0.011642937548458576
32,0.9939393997192383,0.028707407414913177,1.0,0.00790636520832777
33,0.9939393997192383,0.02544151246547699,0.9933920502662659,0.024220598861575127
34,0.9884297251701355,0.03482210636138916,0.9955947399139404,0.02216573804616928
35,0.9911845922470093,0.035247527062892914,0.9955947399139404,0.01830570586025715
36,0.994490385055542,0.029765712097287178,0.9977973699569702,0.01001669466495514
37,0.994490385055542,0.028672760352492332,0.9911894202232361,0.01822083629667759
38,0.9933884143829346,0.023393427953124046,0.9955947399139404,0.010453767143189907
39,0.994490385055542,0.02275054156780243,0.9977973699569702,0.009693272411823273
