Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Params,Size_KB,FLOPs,Latency_ms
9axis_with_HR,CNN_Only,0.9393382352941176,0.9337979094076655,0.94234404536862,536,997,61,38,232417,907.87890625,27187537,123.356032371521
9axis_with_HR,LSTM_Only,0.8890931372549019,0.9303135888501742,0.8667296786389413,534,917,141,40,150753,588.87890625,445009,103.71888637542725
9axis_with_HR,CNN_LSTM_Unidirectional,0.9356617647058824,0.9146341463414634,0.947069943289225,525,1002,56,49,329185,1285.87890625,27546577,93.53551626205444
9axis_with_HR,Transformer,0.883578431372549,0.8693379790940766,0.8913043478260869,499,943,115,75,15095,58.96484375,20234129,91.63495779037476
9axis_with_HR,CNN_BiLSTM,0.9436274509803921,0.9337979094076655,0.9489603024574669,536,1004,54,38,483297,1887.87890625,28085841,94.58847522735596
9axis_with_HR,CNN_GRU,0.9399509803921569,0.9477351916376306,0.9357277882797732,544,990,68,30,416225,1625.87890625,21186769,93.89113664627075
9axis_with_HR,CNN_BiGRU,0.9246323529411765,0.8885017421602788,0.944234404536862,510,999,59,64,774113,3023.87890625,22395345,94.47423696517944
9axis_with_HR,GRU_Only,0.8823529411764706,0.9059233449477352,0.8695652173913043,520,920,138,54,47265,184.62890625,123089,99.79799032211304
9axis_with_HR,BiGRU_Only,0.9160539215686274,0.9355400696864111,0.9054820415879017,537,958,100,37,117345,458.37890625,341073,103.23923349380493
9axis_with_HR,TCN,0.9325980392156863,0.9024390243902439,0.9489603024574669,518,1004,54,56,367969,1437.37890625,89785681,94.31071043014526
9axis_with_HR,MultiScale_SE_BiLSTM,0.9442401960784313,0.921602787456446,0.9565217391304348,529,1012,46,45,454589,1775.73828125,23786157,93.8628888130188
