Advanced DL Experiment Results
============================================================
         Case                Model  Accuracy  Sensitivity  Specificity  TP   TN  FP  FN  Params     Size_KB    FLOPs  Latency_ms
  9axis_no_HR           CNN_BiLSTM  0.925858     0.911150     0.933837 523  988  70  51  481729 1881.753906 28082721   90.475843
  9axis_no_HR              CNN_GRU  0.914828     0.939024     0.901701 539  954 104  35  299201 1168.753906 27444641   91.160684
  9axis_no_HR            CNN_BiGRU  0.908701     0.879791     0.924386 505  978  80  69  416705 1627.753906 27852321   90.041656
  9axis_no_HR             GRU_Only  0.895221     0.926829     0.878072 532  929 129  42   45697  178.503906   119969   93.545461
  9axis_no_HR           BiGRU_Only  0.898897     0.912892     0.891304 524  943 115  50  115777  452.253906   337953   98.467531
  9axis_no_HR                  TCN  0.883578     0.790941     0.933837 454  988  70 120  366401 1431.253906 89782561   91.106133
  9axis_no_HR MultiScale_SE_BiLSTM  0.931985     0.918118     0.939509 527  994  64  47  453021 1769.613281 23783037   90.813503
9axis_with_HR             CNN_Only  0.936275     0.919861     0.945180 528 1000  58  46  232417  907.878906 27187537   92.276466
9axis_with_HR            LSTM_Only  0.892770     0.904181     0.886578 519  938 120  55   59873  233.878906   158673   98.413496
9axis_with_HR          BiLSTM_Only  0.901961     0.914634     0.895085 525  947 111  49  150753  588.878906   445009  101.571863
9axis_with_HR             CNN_LSTM  0.923407     0.888502     0.942344 510  997  61  64  329185 1285.878906 27546577   90.544734
9axis_with_HR          Transformer  0.886029     0.893728     0.881853 513  933 125  61   15095   58.964844 20234129   89.600134
9axis_with_HR           CNN_BiLSTM  0.928922     0.890244     0.949905 511 1005  53  63  483297 1887.878906 28085841   93.410563
9axis_with_HR              CNN_GRU  0.930760     0.942509     0.924386 541  978  80  33  300769 1174.878906 27447761   92.095759
9axis_with_HR            CNN_BiGRU  0.909926     0.897213     0.916824 515  970  88  59  418273 1633.878906 27855441   97.736826
9axis_with_HR             GRU_Only  0.895221     0.904181     0.890359 519  942 116  55   47265  184.628906   123089   98.656092
9axis_with_HR           BiGRU_Only  0.892157     0.914634     0.879962 525  931 127  49  117345  458.378906   341073  102.555983
9axis_with_HR                  TCN  0.887868     0.864111     0.900756 496  953 105  78  367969 1437.378906 89785681   93.011894
9axis_with_HR MultiScale_SE_BiLSTM  0.935662     0.912892     0.948015 524 1003  55  50  454589 1775.738281 23786157   92.829678
============================================================
