epoch,accuracy,loss,val_accuracy,val_loss
0,0.8104214668273926,0.45277613401412964,0.6979166865348816,0.5319766998291016
1,0.876015305519104,0.2912100851535797,0.7138480544090271,0.44297778606414795
2,0.897777795791626,0.24532844126224518,0.8590686321258545,0.30619245767593384
3,0.908965528011322,0.22344468533992767,0.8915441036224365,0.24949440360069275
4,0.9173946380615234,0.20332792401313782,0.9007353186607361,0.22818370163440704
5,0.9204597473144531,0.1922910064458847,0.905024528503418,0.20821881294250488
6,0.9229118824005127,0.1865379363298416,0.9013480544090271,0.21911495923995972
7,0.9288889169692993,0.1718825399875641,0.9093137383460999,0.20677785575389862
8,0.9322605133056641,0.16194641590118408,0.9117646813392639,0.20087306201457977
9,0.9324138164520264,0.1663365364074707,0.9111519455909729,0.1953543722629547
10,0.9359387159347534,0.14660429954528809,0.9160539507865906,0.19376106560230255
11,0.9422222375869751,0.13970810174942017,0.9142156839370728,0.188927561044693
12,0.9379310607910156,0.1452019214630127,0.9252451062202454,0.17514397203922272
13,0.9478927254676819,0.13202404975891113,0.9154411554336548,0.18605346977710724
14,0.9436015486717224,0.13332471251487732,0.9221813678741455,0.17507147789001465
15,0.9486590027809143,0.12314510345458984,0.9307597875595093,0.16891047358512878
16,0.9491187930107117,0.12046681344509125,0.9185048937797546,0.19121895730495453
17,0.9488122463226318,0.12140801548957825,0.9289215803146362,0.17069780826568604
18,0.9468199014663696,0.12177059054374695,0.9234068393707275,0.17741143703460693
19,0.9550957679748535,0.11210348457098007,0.9221813678741455,0.18196187913417816
20,0.9570881128311157,0.10692564398050308,0.9289215803146362,0.1710735410451889
21,0.9481992125511169,0.11569811403751373,0.9264705777168274,0.17207732796669006
22,0.9563218355178833,0.1088273823261261,0.9301470518112183,0.17168889939785004
23,0.9583141803741455,0.10106495767831802,0.9295343160629272,0.1688310205936432
24,0.9561685919761658,0.10191244632005692,0.939338207244873,0.16397416591644287
25,0.9609195590019226,0.09596890956163406,0.9283088445663452,0.1768704354763031
26,0.9613792896270752,0.09709613025188446,0.938725471496582,0.16439461708068848
27,0.9583141803741455,0.09932975471019745,0.938725471496582,0.1727183312177658
28,0.9636781811714172,0.09049026668071747,0.939338207244873,0.1540566086769104
29,0.9613792896270752,0.09311103075742722,0.9375,0.19057846069335938
30,0.961685836315155,0.09677696228027344,0.939338207244873,0.16319561004638672
31,0.9667432904243469,0.08284079283475876,0.9350489974021912,0.1805204302072525
32,0.9672030806541443,0.08556124567985535,0.9491421580314636,0.1594904363155365
33,0.9662835001945496,0.08491135388612747,0.9411764740943909,0.14341673254966736
34,0.9665900468826294,0.08131883293390274,0.938725471496582,0.16996613144874573
35,0.9678161144256592,0.07958368211984634,0.9430146813392639,0.17067213356494904
36,0.9678161144256592,0.08030501008033752,0.9417892098426819,0.1674567461013794
37,0.9687356352806091,0.07760943472385406,0.9430146813392639,0.16243712604045868
38,0.9704214334487915,0.07761538028717041,0.9454656839370728,0.16132554411888123
39,0.9721072912216187,0.07804085314273834,0.939338207244873,0.15452474355697632
40,0.9642912149429321,0.08559011667966843,0.9417892098426819,0.16393840312957764
41,0.9721072912216187,0.0725143551826477,0.9497548937797546,0.1533934772014618
42,0.9757854342460632,0.06875856965780258,0.9448529481887817,0.14996160566806793
43,0.9730268120765686,0.07199214398860931,0.9497548937797546,0.15853898227214813
